,coadd_object_id,ra,dec,z,err_z,flag_des,survey,flag_survey,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
318,956253939,333.969135,0.953847,0.7084,99.0,4,VVDS,4.0,24.436532974243164,23.16715431213379,22.264625549316406,21.966814041137695,21.943973541259766,0.18647289276123047,0.07922621071338654,0.051743704825639725,0.07552561163902283,0.2590648829936981
4901,1278931725,36.621111,-4.390716,0.4329,99.0,3,VVDS,3.0,22.513490676879883,21.456005096435547,21.12823486328125,20.898365020751953,20.831371307373047,0.04940249025821686,0.02394014410674572,0.030108585953712463,0.046734295785427094,0.13228335976600647
6114,1278946764,36.613941,-4.554566,0.7062,99.0,4,VVDS,4.0,24.858728408813477,23.13495445251465,21.908302307128906,21.421241760253906,21.258068084716797,0.27436143159866333,0.07856917381286621,0.04130864888429642,0.05638161674141884,0.12798111140727997
6196,955789055,334.245584,-0.318125,0.6197,99.0,4,VVDS,4.0,22.19503402709961,21.232074737548828,20.792667388916016,20.523984909057617,20.571340560913086,0.0372060127556324,0.019445447251200676,0.01936519145965576,0.029196564108133316,0.10314431041479111
5137,1278940978,36.617543,-4.49324,0.314,99.0,4,VVDS,4.0,22.65814971923828,21.82293701171875,21.412439346313477,21.048757553100586,21.046350479125977,0.055623892694711685,0.030082708224654198,0.03823767602443695,0.05624481290578842,0.17738208174705505
1992,960222424,335.383126,0.765249,0.3513,99.0,3,VVDS,3.0,22.204599380493164,20.578750610351562,20.00733184814453,19.677980422973633,19.48181915283203,0.03887210786342621,0.011918870732188225,0.011253328993916512,0.01533394306898117,0.04967188835144043
3410,1278937497,36.425362,-4.454966,0.5262,99.0,4,VVDS,4.0,23.105459213256836,22.31249237060547,21.977848052978516,22.032974243164062,21.80036735534668,0.06260506808757782,0.03991728648543358,0.054272767156362534,0.1021362841129303,0.21823421120643616
4561,954038522,333.671889,0.294814,0.582,99.0,4,VVDS,4.0,22.57404327392578,21.348642349243164,20.684743881225586,20.326358795166016,20.289752960205078,0.04321446269750595,0.018752600997686386,0.015874255448579788,0.02245328575372696,0.07424115389585495
381,958158873,334.697054,0.127271,0.4413,99.0,4,VVDS,4.0,23.06846046447754,22.345476150512695,22.017969131469727,21.886133193969727,21.601455688476562,0.06647387892007828,0.04592939466238022,0.05034404247999191,0.09437902271747589,0.2709321677684784
5349,1278912640,36.435914,-4.17705,0.8577,99.0,3,VVDS,3.0,23.905359268188477,22.899349212646484,22.117856979370117,21.924421310424805,21.749753952026367,0.22132033109664917,0.09665793925523758,0.0829320177435875,0.12359414994716644,0.26276224851608276
